True_Status,Risk_Score,Risk_Level
Graduate,0.015787428478406612,Low Risk
Graduate,0.018863808891922892,Low Risk
Enrolled,0.04953102573131568,Low Risk
Graduate,0.00528675070985159,Low Risk
Dropout,0.04243688828098802,Low Risk
Graduate,0.050481060218069904,Low Risk
Enrolled,0.11113203302733421,Low Risk
Graduate,0.03333428699302809,Low Risk
Graduate,0.01180847882789712,Low Risk
Dropout,0.9777122316837666,High Risk
Enrolled,0.11921943077575338,Low Risk
Dropout,0.9847011686515538,High Risk
Graduate,0.03648041904984991,Low Risk
Enrolled,0.16574849354571583,Low Risk
Enrolled,0.2074977970533416,Low Risk
Dropout,0.07251888797291267,Low Risk
Enrolled,0.01935837613256292,Low Risk
Enrolled,0.2184687638767739,Low Risk
Graduate,0.027723882851021214,Low Risk
Graduate,0.04259887422921988,Low Risk
Graduate,0.127776982608059,Low Risk
Graduate,0.02278456146766128,Low Risk
Graduate,0.41972082442594744,Medium Risk
Enrolled,0.15422524565186654,Low Risk
Graduate,0.013592546357043295,Low Risk
Enrolled,0.34893258015341416,Medium Risk
Enrolled,0.24455363125773646,Low Risk
Dropout,0.920515782012057,High Risk
Dropout,0.771214067779275,High Risk
Graduate,0.02725430850783821,Low Risk
Graduate,0.050475216385839336,Low Risk
Graduate,0.02875371534057677,Low Risk
Graduate,0.11362779866303212,Low Risk
Dropout,0.384096117132611,Medium Risk
Dropout,0.9555096666717271,High Risk
Enrolled,0.07570240682563385,Low Risk
Enrolled,0.55481805122052,Medium Risk
Enrolled,0.4421787269923373,Medium Risk
Enrolled,0.09509809845856336,Low Risk
Graduate,0.03034799046703521,Low Risk
Graduate,0.17065450838781565,Low Risk
Graduate,0.058541085824240495,Low Risk
Graduate,0.06729045529263619,Low Risk
Graduate,0.03554167629389815,Low Risk
Dropout,0.9321475218744838,High Risk
Graduate,0.020682800518068024,Low Risk
Graduate,0.06632158203462103,Low Risk
Graduate,0.05010258181986744,Low Risk
Graduate,0.08061471613740945,Low Risk
Graduate,0.020601421046717434,Low Risk
Graduate,0.08064074286106175,Low Risk
Graduate,0.032946234914325,Low Risk
Dropout,0.5518952941837165,Medium Risk
Graduate,0.029785662246215684,Low Risk
Dropout,0.9701297375526039,High Risk
Graduate,0.03377918838179356,Low Risk
Graduate,0.07984511942291377,Low Risk
Dropout,0.9572957447669669,High Risk
Graduate,0.04107343384264138,Low Risk
Graduate,0.036347293564144005,Low Risk
Graduate,0.011382965706445978,Low Risk
Graduate,0.06041197423946809,Low Risk
Enrolled,0.46614654579415205,Medium Risk
Dropout,0.9480136690832338,High Risk
Graduate,0.15623401507618176,Low Risk
Graduate,0.03263034694694901,Low Risk
Graduate,0.07697698710710645,Low Risk
Graduate,0.03142269386563914,Low Risk
Dropout,0.9153502902669511,High Risk
Graduate,0.044877242469819695,Low Risk
Graduate,0.04263037759244952,Low Risk
Enrolled,0.11216192746382343,Low Risk
Graduate,0.021497443679157822,Low Risk
Dropout,0.9653322958791944,High Risk
Graduate,0.09081376807378799,Low Risk
Enrolled,0.3315057625194943,Medium Risk
Enrolled,0.18107698604796268,Low Risk
Graduate,0.04479800069808897,Low Risk
Graduate,0.03129302236972833,Low Risk
Graduate,0.22852171502699772,Low Risk
Graduate,0.017763345231473417,Low Risk
Graduate,0.022664927863567167,Low Risk
Dropout,0.03836882304600344,Low Risk
Graduate,0.0907979238925339,Low Risk
Enrolled,0.054610177677946424,Low Risk
Graduate,0.02122854872779644,Low Risk
Graduate,0.029460674248020357,Low Risk
Graduate,0.02396321247530698,Low Risk
Graduate,0.03023783285320086,Low Risk
Enrolled,0.061486125369153204,Low Risk
Graduate,0.19945946593606628,Low Risk
Dropout,0.9155808616500869,High Risk
Dropout,0.19062944652197453,Low Risk
Graduate,0.04049368011217792,Low Risk
Graduate,0.03435930619798179,Low Risk
Graduate,0.07466125218453397,Low Risk
Graduate,0.019021475363518094,Low Risk
Graduate,0.12793544458759903,Low Risk
Graduate,0.25932588702665593,Low Risk
Enrolled,0.11276764822259541,Low Risk
Dropout,0.49125054354096165,Medium Risk
Enrolled,0.10111281354999402,Low Risk
Graduate,0.08377164857172034,Low Risk
Graduate,0.06249536912806663,Low Risk
Graduate,0.07887758864486763,Low Risk
Graduate,0.04172196076157166,Low Risk
Graduate,0.023306055551359107,Low Risk
Dropout,0.21262648430681086,Low Risk
Graduate,0.02578269800102397,Low Risk
Dropout,0.9897253191075286,High Risk
Graduate,0.053948349071341634,Low Risk
Dropout,0.9718586540482836,High Risk
Dropout,0.9907133520652631,High Risk
Graduate,0.055449119811104355,Low Risk
Enrolled,0.00796017039380478,Low Risk
Graduate,0.05008805214235824,Low Risk
Graduate,0.057243977696430186,Low Risk
Dropout,0.9566973777330702,High Risk
Enrolled,0.2529943457832611,Low Risk
Graduate,0.010414386022818757,Low Risk
Graduate,0.07465298105434381,Low Risk
Dropout,0.29403843043728006,Low Risk
Dropout,0.44191260235304275,Medium Risk
Graduate,0.03964225066230258,Low Risk
Graduate,0.02095406738787102,Low Risk
Graduate,0.045272697444712774,Low Risk
Graduate,0.02821906231460819,Low Risk
Graduate,0.035853984091552174,Low Risk
Enrolled,0.09178231704141199,Low Risk
Enrolled,0.07777558912581477,Low Risk
Dropout,0.9671952056532199,High Risk
Dropout,0.9957122541627847,High Risk
Graduate,0.16355025395852374,Low Risk
Graduate,0.027163221172992528,Low Risk
Graduate,0.022020538635572892,Low Risk
Enrolled,0.06525869185734622,Low Risk
Graduate,0.12965998008447222,Low Risk
Enrolled,0.6508765127114197,High Risk
Dropout,0.9768126443681024,High Risk
Graduate,0.045458773851221504,Low Risk
Enrolled,0.05677406318149058,Low Risk
Enrolled,0.14346005160838543,Low Risk
Graduate,0.04278532908343508,Low Risk
Dropout,0.08442646177527456,Low Risk
Dropout,0.7644085183944298,High Risk
Enrolled,0.5770055020468233,Medium Risk
Dropout,0.9784916166314079,High Risk
Graduate,0.3682129989056895,Medium Risk
Dropout,0.9965922262592438,High Risk
Dropout,0.9520589713416311,High Risk
Dropout,0.9871572158428026,High Risk
Graduate,0.07108426076712995,Low Risk
Dropout,0.4412948749842312,Medium Risk
Dropout,0.9285955439872781,High Risk
Dropout,0.5272040210047976,Medium Risk
Graduate,0.02975239087364159,Low Risk
Graduate,0.05930391306547078,Low Risk
Graduate,0.0546909640459728,Low Risk
Graduate,0.042511478188897646,Low Risk
Dropout,0.9374669947251371,High Risk
Dropout,0.8424912752804754,High Risk
Enrolled,0.4084548544763142,Medium Risk
Graduate,0.49687203025385346,Medium Risk
Dropout,0.9649164428171605,High Risk
Dropout,0.5404756658808572,Medium Risk
Enrolled,0.2633360842194753,Low Risk
Dropout,0.9788219530432668,High Risk
Graduate,0.06692623525235607,Low Risk
Dropout,0.987058635111807,High Risk
Graduate,0.33216009681771014,Medium Risk
Graduate,0.29621426631695774,Low Risk
Dropout,0.9358535954511968,High Risk
Graduate,0.10212799224951065,Low Risk
Graduate,0.04324180290303528,Low Risk
Dropout,0.2892997968344468,Low Risk
Graduate,0.0609583951547923,Low Risk
Enrolled,0.1730034953292861,Low Risk
Graduate,0.03512462749843785,Low Risk
Graduate,0.02628407352162404,Low Risk
Enrolled,0.061324985332366556,Low Risk
Enrolled,0.20388527573040446,Low Risk
Enrolled,0.44531640241617426,Medium Risk
Enrolled,0.6704143718563077,High Risk
Enrolled,0.09588750087342954,Low Risk
Graduate,0.07124326271805975,Low Risk
Dropout,0.320147796079756,Medium Risk
Dropout,0.970834850512767,High Risk
Dropout,0.895302183747241,High Risk
Dropout,0.9548335612721272,High Risk
Dropout,0.9056888768508936,High Risk
Dropout,0.5091378460759451,Medium Risk
Enrolled,0.32776829695753706,Medium Risk
Graduate,0.11087116518488371,Low Risk
Enrolled,0.1381882523287815,Low Risk
Graduate,0.05094627908099117,Low Risk
Graduate,0.002724912258660997,Low Risk
Enrolled,0.2750010932007138,Low Risk
Dropout,0.8454622343201789,High Risk
Graduate,0.13410148460149565,Low Risk
Graduate,0.028801815824799876,Low Risk
Graduate,0.05629927518737695,Low Risk
Dropout,0.9130905993174512,High Risk
Dropout,0.5646722853444263,Medium Risk
Graduate,0.04653901685295556,Low Risk
Graduate,0.18466819082938316,Low Risk
Graduate,0.019957287369884516,Low Risk
Dropout,0.6308168191979676,High Risk
Dropout,0.7196598541277817,High Risk
Enrolled,0.1349139673346538,Low Risk
Graduate,0.5008191294118971,Medium Risk
Dropout,0.9652941921022908,High Risk
Graduate,0.04609220162977717,Low Risk
Enrolled,0.10451157829788948,Low Risk
Graduate,0.015154883451867428,Low Risk
Graduate,0.044994493380487964,Low Risk
Dropout,0.9857651969010172,High Risk
Graduate,0.0796613199143027,Low Risk
Enrolled,0.03535247578590196,Low Risk
Graduate,0.08790582786862398,Low Risk
Graduate,0.04198895888326634,Low Risk
Graduate,0.02690800753020799,Low Risk
Graduate,0.13363405510567639,Low Risk
Graduate,0.05320935223705843,Low Risk
Graduate,0.16998027508293448,Low Risk
Graduate,0.05533719423737678,Low Risk
Graduate,0.030138608922689537,Low Risk
Enrolled,0.09860150594470239,Low Risk
Graduate,0.033553567570511846,Low Risk
Enrolled,0.1146710324352275,Low Risk
Enrolled,0.16472623593424984,Low Risk
Dropout,0.6477893070152965,High Risk
Dropout,0.9587359887762937,High Risk
Dropout,0.8508652160164002,High Risk
Graduate,0.06815149659607801,Low Risk
Graduate,0.029313771078061997,Low Risk
Dropout,0.9764108693732921,High Risk
Dropout,0.8515492868578566,High Risk
Graduate,0.05306889712324887,Low Risk
Graduate,0.05991932917786485,Low Risk
Graduate,0.025252821662079324,Low Risk
Dropout,0.8653601385965515,High Risk
Dropout,0.7796821095883172,High Risk
Graduate,0.03051265699904169,Low Risk
Dropout,0.9452534014909257,High Risk
Enrolled,0.09767905040679986,Low Risk
Graduate,0.004544055245998189,Low Risk
Graduate,0.035200332126466914,Low Risk
Graduate,0.0431834244454286,Low Risk
Enrolled,0.047796268210179155,Low Risk
Graduate,0.025409641136503142,Low Risk
Graduate,0.04781314870749885,Low Risk
Graduate,0.014827429926717433,Low Risk
Graduate,0.047893003221568,Low Risk
Graduate,0.05594660339286373,Low Risk
Enrolled,0.051474253154819134,Low Risk
Graduate,0.03756488973680084,Low Risk
Dropout,0.5139466546426621,Medium Risk
Dropout,0.5736529964385944,Medium Risk
Graduate,0.02265405525664721,Low Risk
Dropout,0.1562172996246615,Low Risk
Dropout,0.26794752614899076,Low Risk
Graduate,0.05762577263756365,Low Risk
Graduate,0.028722261227919738,Low Risk
Graduate,0.027406480629117536,Low Risk
Graduate,0.14499534603579642,Low Risk
Graduate,0.05179810064472811,Low Risk
Enrolled,0.1499162346901115,Low Risk
Graduate,0.025451305835587565,Low Risk
Graduate,0.005406855467434327,Low Risk
Graduate,0.08170947730726902,Low Risk
Graduate,0.031180106413041368,Low Risk
Graduate,0.04180184519692585,Low Risk
Enrolled,0.30875023925689093,Medium Risk
Graduate,0.07938337906413269,Low Risk
Dropout,0.05623253758317249,Low Risk
Dropout,0.9858031759918204,High Risk
Enrolled,0.37058576011805433,Medium Risk
Enrolled,0.10967613237267207,Low Risk
Enrolled,0.025569450414751616,Low Risk
Dropout,0.9885455040162832,High Risk
Enrolled,0.12360344027238869,Low Risk
Enrolled,0.47047732967713035,Medium Risk
Graduate,0.09884212619980845,Low Risk
Graduate,0.056028567110093644,Low Risk
Graduate,0.16055520337929532,Low Risk
Graduate,0.029628258574029075,Low Risk
Enrolled,0.1361651409942225,Low Risk
Graduate,0.07212759104176779,Low Risk
Graduate,0.03867125226220141,Low Risk
Graduate,0.19107606907683797,Low Risk
Enrolled,0.2070113127625651,Low Risk
Enrolled,0.3874752257306144,Medium Risk
Graduate,0.07865108048579379,Low Risk
Graduate,0.04603041715797521,Low Risk
Dropout,0.9234769016461984,High Risk
Graduate,0.019928528044077284,Low Risk
Enrolled,0.006473531638787097,Low Risk
Graduate,0.0789548656378086,Low Risk
Graduate,0.33081472724640903,Medium Risk
Graduate,0.09400793883459707,Low Risk
Graduate,0.010571824176147273,Low Risk
Dropout,0.9370668424931563,High Risk
Graduate,0.013932987559179655,Low Risk
Dropout,0.9839805146633331,High Risk
Graduate,0.0291259280665604,Low Risk
Graduate,0.03907249188442466,Low Risk
Dropout,0.39751562480223107,Medium Risk
Graduate,0.04653387248045102,Low Risk
Graduate,0.046987479499883945,Low Risk
Graduate,0.04187129340519702,Low Risk
Dropout,0.8971417673160134,High Risk
Graduate,0.04924059067451754,Low Risk
Enrolled,0.27367708195845475,Low Risk
Dropout,0.9821623891023882,High Risk
Graduate,0.14319697260971265,Low Risk
Graduate,0.09417466053265401,Low Risk
Graduate,0.04028530972108009,Low Risk
Dropout,0.6463714008653128,High Risk
Dropout,0.9933236221838153,High Risk
Graduate,0.084043030748867,Low Risk
Graduate,0.23931141745467296,Low Risk
Dropout,0.9671376171552817,High Risk
Graduate,0.08877711851834366,Low Risk
Graduate,0.07694995478255852,Low Risk
Dropout,0.9734902480507556,High Risk
Dropout,0.9873431818116417,High Risk
Graduate,0.04506993493366175,Low Risk
Enrolled,0.12257654578766843,Low Risk
Dropout,0.976559560449103,High Risk
Graduate,0.36617378346644547,Medium Risk
Dropout,0.5065740846503684,Medium Risk
Graduate,0.24629402393016872,Low Risk
